code,industry,seg_gain,pos_in_ind,w_start,w_end,ind_str
sz.300519,C27医药制造业,0.04600644111633301,0.5130718954248366,2025-07-14,2025-09-17,0.42852905329909063
sz.300528,R87广播、电视、电影和录音制作业,0.10820448398590088,0.6,2023-04-03,2023-05-16,0.7277957061171203
sz.300562,C35专用设备制造业,-0.0012730956077575684,0.48563218390804597,2025-02-14,2025-03-31,0.5625654252715209
sz.300565,C39计算机、通信和其他电子设备制造业,-0.00718843936920166,0.5863708399366085,2025-02-06,2025-03-31,0.7052183862600268
sz.300566,C39计算机、通信和其他电子设备制造业,-0.008366167545318604,0.5816164817749604,2025-02-06,2025-03-31,0.7052183862600268
sz.300572,C40仪器仪表制造业,0.042278289794921875,0.4567901234567901,2025-02-06,2025-04-01,0.7548368801039278
sz.300578,I65软件和信息技术服务业,-0.031313180923461914,0.4174174174174174,2025-02-06,2025-03-31,0.9931014231289645
sz.300579,I65软件和信息技术服务业,-0.031778931617736816,0.4144144144144144,2025-02-06,2025-03-31,0.9931014231289645
sz.300593,C38电气机械和器材制造业,0.013194441795349121,0.5652173913043478,2025-02-21,2025-03-28,0.5396953562537379
sz.300597,I65软件和信息技术服务业,-0.007751941680908203,0.4954954954954955,2025-02-06,2025-03-31,0.9931014231289645
sz.300606,C30非金属矿物制品业,-0.024058520793914795,0.4117647058823529,2025-02-20,2025-03-28,0.49004041596493786
sz.300615,C39计算机、通信和其他电子设备制造业,-0.03149610757827759,0.43106180665610144,2025-02-06,2025-03-31,0.7052183862600268
sz.300616,C21家具制造业,0.043874144554138184,0.6,2025-02-06,2025-03-28,0.4798231448452468
sz.300625,C38电气机械和器材制造业,-0.009409785270690918,0.4658385093167702,2025-02-21,2025-03-28,0.5396953562537379
sz.300626,C38电气机械和器材制造业,0.018090486526489258,0.5807453416149069,2025-02-21,2025-03-28,0.5396953562537379
sz.300628,C39计算机、通信和其他电子设备制造业,-0.03200572729110718,0.42630744849445323,2025-02-06,2025-03-31,0.7052183862600268
sz.300631,C35专用设备制造业,0.002358555793762207,0.5028735632183908,2025-02-14,2025-03-31,0.5625654252715209
sz.300635,M74专业技术服务业,-0.041216909885406494,0.4583333333333333,2025-02-19,2025-03-31,0.5275870907967182
sz.300644,C29橡胶和塑料制品业,0.029668331146240234,0.575,2025-02-07,2025-03-31,0.5489958398734673
sz.300656,C39计算机、通信和其他电子设备制造业,-0.02995777130126953,0.4405705229793978,2025-02-06,2025-03-31,0.7052183862600268
sz.300658,C17纺织业,0.04847395420074463,0.45454545454545453,2025-02-07,2025-04-01,0.5620635357898778
sz.300664,N77生态保护和环境治理业,0.015594482421875,0.5076923076923077,2025-02-20,2025-03-28,0.5106555062798752
sz.300665,C26化学原料和化学制品制造业,-0.05876392126083374,0.41935483870967744,2021-08-24,2021-09-28,0.5957962094531348
sz.300670,C38电气机械和器材制造业,-0.006379485130310059,0.4813664596273292,2025-02-21,2025-03-28,0.5396953562537379
sz.300672,C39计算机、通信和其他电子设备制造业,-0.02917957305908203,0.44532488114104596,2025-02-06,2025-03-31,0.7052183862600268
sz.300684,C39计算机、通信和其他电子设备制造业,-0.008216023445129395,0.5847860538827259,2025-02-06,2025-03-31,0.7052183862600268
sz.300685,C27医药制造业,0.022767066955566406,0.41830065359477125,2025-07-14,2025-09-17,0.42852905329909063
